[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\forms\widgets.py first seen with mtime 1643361093.2686157
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1643361093.2386203
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\chardet\langhebrewmodel.py first seen with mtime 1643452068.4084418
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\chardet\utf8prober.py first seen with mtime 1643452068.4214444
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File G:\WordHunt\wordhunt\main\models.py first seen with mtime 1643364380.5727878
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1643361093.3746178
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\weakref.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\heapq.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File G:\WordHunt\wordhunt\wordhunt\__init__.py first seen with mtime 1643361280.8189535
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\asyncio\windows_events.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\argparse.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1643361093.2296207
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\utils\inspect.py first seen with mtime 1643361093.4296315
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1643361093.1906195
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\wsgiref\simple_server.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1643361093.4196181
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1643361093.3876195
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\copy.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1643361093.470622
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\asyncio\runners.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\ssl.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\template\exceptions.py first seen with mtime 1643361093.3716187
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1643361091.2176206
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\site-packages\django\utils\log.py first seen with mtime 1643361093.432619
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\gettext.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\unittest\util.py first seen with mtime 1633369246.0
[01/Feb/2022 02:10:16] DEBUG [django.utils.autoreload:385] File C:\Users\Toshiro\miniconda3\envs\wordhunt_env\Lib\concurrent\futures\__init__.py first seen with mtime 1633369246.0
